cumulative_cases,date_today,state
1312408.5,2022-02-17,AL
1315860.125,2022-02-18,AL
1319274.75,2022-02-19,AL
1322412.5,2022-02-20,AL
1324659.375,2022-02-21,AL
1325377.625,2022-02-22,AL
1325968.5,2022-02-23,AL
1331864.125,2022-02-24,AL
1340870.0,2022-02-25,AL
1349243.125,2022-02-26,AL
1353298.125,2022-02-27,AL
1354753.375,2022-02-28,AL
1359203.5,2022-03-01,AL
1365251.5,2022-03-02,AL
1371426.25,2022-03-03,AL
244761.375,2022-02-17,AK
245579.609375,2022-02-18,AK
246409.046875,2022-02-19,AK
247219.84375,2022-02-20,AK
247911.34375,2022-02-21,AK
248296.890625,2022-02-22,AK
248456.15625,2022-02-23,AK
249220.265625,2022-02-24,AK
250333.15625,2022-02-25,AK
251311.96875,2022-02-26,AK
251735.546875,2022-02-27,AK
252058.625,2022-02-28,AK
252959.484375,2022-03-01,AK
254088.578125,2022-03-02,AK
255211.265625,2022-03-03,AK
2027084.125,2022-02-17,AZ
2032298.375,2022-02-18,AZ
2037443.625,2022-02-19,AZ
2042138.875,2022-02-20,AZ
2045426.875,2022-02-21,AZ
2046367.875,2022-02-22,AZ
2047247.625,2022-02-23,AZ
2056578.25,2022-02-24,AZ
2070867.875,2022-02-25,AZ
2084190.375,2022-02-26,AZ
2090676.375,2022-02-27,AZ
2092889.5,2022-02-28,AZ
2099716.0,2022-03-01,AZ
2109056.25,2022-03-02,AZ
2118613.0,2022-03-03,AZ
840605.4375,2022-02-17,AR
842893.4375,2022-02-18,AR
845165.5625,2022-02-19,AR
847274.9375,2022-02-20,AR
848834.4375,2022-02-21,AR
849405.75,2022-02-22,AR
849806.0,2022-02-23,AR
853433.8125,2022-02-24,AR
858951.8125,2022-02-25,AR
864057.125,2022-02-26,AR
866507.5,2022-02-27,AR
867462.4375,2022-02-28,AR
870344.125,2022-03-01,AR
874218.375,2022-03-02,AR
878160.625,2022-03-03,AR
9178213.0,2022-02-17,CA
9201066.0,2022-02-18,CA
9223523.0,2022-02-19,CA
9243807.0,2022-02-20,CA
9257514.0,2022-02-21,CA
9260681.0,2022-02-22,CA
9264450.0,2022-02-23,CA
9308152.0,2022-02-24,CA
9375312.0,2022-02-25,CA
9438157.0,2022-02-26,CA
9468971.0,2022-02-27,CA
9478767.0,2022-02-28,CA
9509368.0,2022-03-01,CA
9551652.0,2022-03-02,CA
9595050.0,2022-03-03,CA
1342348.875,2022-02-17,CO
1345874.375,2022-02-18,CO
1349361.5,2022-02-19,CO
1352564.375,2022-02-20,CO
1354855.0,2022-02-21,CO
1355582.625,2022-02-22,CO
1356185.5,2022-02-23,CO
1362225.0,2022-02-24,CO
1371452.25,2022-02-25,CO
1380032.75,2022-02-26,CO
1384189.5,2022-02-27,CO
1385676.625,2022-02-28,CO
1390226.25,2022-03-01,CO
1396412.125,2022-03-02,CO
1402728.625,2022-03-03,CO
740608.0625,2022-02-17,CT
742649.375,2022-02-18,CT
744679.375,2022-02-19,CT
746570.8125,2022-02-20,CT
747984.625,2022-02-21,CT
748524.75,2022-02-22,CT
748884.625,2022-02-23,CT
752031.8125,2022-02-24,CT
756810.5,2022-02-25,CT
761223.3125,2022-02-26,CT
763333.5,2022-02-27,CT
764182.375,2022-02-28,CT
766731.625,2022-03-01,CT
770145.1875,2022-03-02,CT
773614.25,2022-03-03,CT
262803.84375,2022-02-17,DE
263666.59375,2022-02-18,DE
264539.625,2022-02-19,DE
265389.9375,2022-02-20,DE
266107.625,2022-02-21,DE
266498.75,2022-02-22,DE
266665.40625,2022-02-23,DE
267516.15625,2022-02-24,DE
268762.46875,2022-02-25,DE
269866.1875,2022-02-26,DE
270351.15625,2022-02-27,DE
270693.4375,2022-02-28,DE
271654.25,2022-03-01,DE
272866.4375,2022-03-02,DE
274074.5,2022-03-03,DE
137634.0625,2022-02-17,DC
138188.0625,2022-02-18,DC
138758.09375,2022-02-19,DC
139335.4375,2022-02-20,DC
139870.875,2022-02-21,DC
140223.046875,2022-02-22,DC
140338.984375,2022-02-23,DC
140588.203125,2022-02-24,DC
140909.09375,2022-02-25,DC
141146.0,2022-02-26,DC
141205.171875,2022-02-27,DC
141414.640625,2022-02-28,DC
141959.359375,2022-03-01,DC
142594.90625,2022-03-02,DC
143210.671875,2022-03-03,DC
5989937.5,2022-02-17,FL
6004927.5,2022-02-18,FL
6019667.5,2022-02-19,FL
6033000.5,2022-02-20,FL
6042060.5,2022-02-21,FL
6044236.0,2022-02-22,FL
6046718.5,2022-02-23,FL
6075096.5,2022-02-24,FL
6118684.0,2022-02-25,FL
6159449.5,2022-02-26,FL
6179416.5,2022-02-27,FL
6185831.5,2022-02-28,FL
6205833.5,2022-03-01,FL
6233431.0,2022-03-02,FL
6261740.5,2022-03-03,FL
2522764.5,2022-02-17,GA
2529200.25,2022-02-18,GA
2535546.5,2022-02-19,GA
2541322.0,2022-02-20,GA
2545332.0,2022-02-21,GA
2546427.0,2022-02-22,GA
2547507.5,2022-02-23,GA
2559220.5,2022-02-24,GA
2577175.25,2022-02-25,GA
2593930.0,2022-02-26,GA
2602102.25,2022-02-27,GA
2604841.25,2022-02-28,GA
2613315.5,2022-03-01,GA
2624939.25,2022-03-02,GA
2636841.5,2022-03-03,GA
242077.875,2022-02-17,HI
242889.484375,2022-02-18,HI
243712.421875,2022-02-19,HI
244517.375,2022-02-20,HI
245204.96875,2022-02-21,HI
245589.6875,2022-02-22,HI
245747.859375,2022-02-23,HI
246499.078125,2022-02-24,HI
247592.125,2022-02-25,HI
248552.34375,2022-02-26,HI
248966.796875,2022-02-27,HI
249287.03125,2022-02-28,HI
250178.96875,2022-03-01,HI
251295.703125,2022-03-02,HI
252405.6875,2022-03-03,HI
431125.5625,2022-02-17,ID
432403.46875,2022-02-18,ID
433684.0625,2022-02-19,ID
434901.21875,2022-02-20,ID
435864.125,2022-02-21,ID
436307.71875,2022-02-22,ID
436542.40625,2022-02-23,ID
438202.15625,2022-02-24,ID
440692.875,2022-02-25,ID
442962.34375,2022-02-26,ID
444019.84375,2022-02-27,ID
444540.65625,2022-02-28,ID
446061.03125,2022-03-01,ID
448048.6875,2022-03-02,ID
450053.28125,2022-03-03,ID
3099966.5,2022-02-17,IL
3107825.75,2022-02-18,IL
3115569.75,2022-02-19,IL
3122603.25,2022-02-20,IL
3127454.0,2022-02-21,IL
3128729.0,2022-02-22,IL
3130043.0,2022-02-23,IL
3144530.25,2022-02-24,IL
3166752.0,2022-02-25,IL
3187504.5,2022-02-26,IL
3197640.0,2022-02-27,IL
3200991.0,2022-02-28,IL
3211384.25,2022-03-01,IL
3225667.0,2022-03-02,IL
3240300.75,2022-03-03,IL
1721837.0,2022-02-17,IN
1726298.375,2022-02-18,IN
1730704.375,2022-02-19,IN
1734734.375,2022-02-20,IN
1737577.75,2022-02-21,IN
1738423.625,2022-02-22,IN
1739180.0,2022-02-23,IN
1747043.5,2022-02-24,IN
1759076.375,2022-02-25,IN
1770285.0,2022-02-26,IN
1775732.625,2022-02-27,IN
1777622.0,2022-02-28,IN
1783433.375,2022-03-01,IN
1791367.5,2022-03-02,IN
1799479.875,2022-03-03,IN
767798.3125,2022-02-17,IA
769906.75,2022-02-18,IA
772002.5625,2022-02-19,IA
773953.25,2022-02-20,IA
775406.75,2022-02-21,IA
775955.3125,2022-02-22,IA
776326.1875,2022-02-23,IA
779604.0,2022-02-24,IA
784583.75,2022-02-25,IA
789184.875,2022-02-26,IA
791387.5625,2022-02-27,IA
792265.25,2022-02-28,IA
794904.875,2022-03-01,IA
798443.75,2022-03-02,IA
802041.5,2022-03-03,IA
785170.75,2022-02-17,KS
787322.0625,2022-02-18,KS
789459.9375,2022-02-19,KS
791448.4375,2022-02-20,KS
792927.25,2022-02-21,KS
793481.25,2022-02-22,KS
793859.125,2022-02-23,KS
797220.5,2022-02-24,KS
802328.625,2022-02-25,KS
807050.0625,2022-02-26,KS
809311.875,2022-02-27,KS
810208.0,2022-02-28,KS
812905.375,2022-03-01,KS
816524.25,2022-03-02,KS
820204.1875,2022-03-03,KS
1305580.25,2022-02-17,KY
1309015.0,2022-02-18,KY
1312413.125,2022-02-19,KY
1315536.0,2022-02-20,KY
1317772.875,2022-02-21,KY
1318489.125,2022-02-22,KY
1319077.125,2022-02-23,KY
1324940.0,2022-02-24,KY
1333895.375,2022-02-25,KY
1342221.25,2022-02-26,KY
1346252.875,2022-02-27,KY
1347701.0,2022-02-28,KY
1352128.5,2022-03-01,KY
1358144.875,2022-03-02,KY
1364287.5,2022-03-03,KY
1191718.125,2022-02-17,LA
1194872.125,2022-02-18,LA
1197994.5,2022-02-19,LA
1200869.125,2022-02-20,LA
1202940.25,2022-02-21,LA
1203620.875,2022-02-22,LA
1204162.875,2022-02-23,LA
1209478.5,2022-02-24,LA
1217592.125,2022-02-25,LA
1225129.375,2022-02-26,LA
1228773.875,2022-02-27,LA
1230101.125,2022-02-28,LA
1234150.125,2022-03-01,LA
1239642.0,2022-03-02,LA
1245245.625,2022-03-03,LA
222545.90625,2022-02-17,ME
223309.34375,2022-02-18,ME
224084.984375,2022-02-19,ME
224847.375,2022-02-20,ME
225506.515625,2022-02-21,ME
225885.140625,2022-02-22,ME
226035.421875,2022-02-23,ME
226692.765625,2022-02-24,ME
227641.40625,2022-02-25,ME
228466.359375,2022-02-26,ME
228814.375,2022-02-27,ME
229113.890625,2022-02-28,ME
229940.90625,2022-03-01,ME
230967.640625,2022-03-02,ME
231985.21875,2022-03-03,ME
1023395.6875,2022-02-17,MD
1026134.5,2022-02-18,MD
1028849.25,2022-02-19,MD
1031357.0,2022-02-20,MD
1033182.8125,2022-02-21,MD
1033811.0625,2022-02-22,MD
1034285.25,2022-02-23,MD
1038791.625,2022-02-24,MD
1045660.9375,2022-02-25,MD
1052032.5,2022-02-26,MD
1055104.25,2022-02-27,MD
1056253.125,2022-02-28,MD
1059742.5,2022-03-01,MD
1064458.875,2022-03-02,MD
1069266.125,2022-03-03,MD
1710071.125,2022-02-17,MA
1714503.5,2022-02-18,MA
1718881.125,2022-02-19,MA
1722885.5,2022-02-20,MA
1725711.75,2022-02-21,MA
1726553.875,2022-02-22,MA
1727305.5,2022-02-23,MA
1735112.375,2022-02-24,MA
1747058.25,2022-02-25,MA
1758185.375,2022-02-26,MA
1763593.0,2022-02-27,MA
1765470.0,2022-02-28,MA
1771242.25,2022-03-01,MA
1779122.25,2022-03-02,MA
1787178.875,2022-03-03,MA
2410117.75,2022-02-17,MI
2416275.75,2022-02-18,MI
2422349.0,2022-02-19,MI
2427879.25,2022-02-20,MI
2431725.0,2022-02-21,MI
2432785.0,2022-02-22,MI
2433820.0,2022-02-23,MI
2444991.5,2022-02-24,MI
2462113.5,2022-02-25,MI
2478088.25,2022-02-26,MI
2485877.25,2022-02-27,MI
2488496.75,2022-02-28,MI
2496596.5,2022-03-01,MI
2507701.25,2022-03-02,MI
2519070.5,2022-03-03,MI
1454613.25,2022-02-17,MN
1458415.5,2022-02-18,MN
1462174.5,2022-02-19,MN
1465622.125,2022-02-20,MN
1468076.25,2022-02-21,MN
1468838.875,2022-02-22,MN
1469487.125,2022-02-23,MN
1476066.25,2022-02-24,MN
1486123.5,2022-02-25,MN
1495481.5,2022-02-26,MN
1500020.125,2022-02-27,MN
1501626.125,2022-02-28,MN
1506549.125,2022-03-01,MN
1513252.25,2022-03-02,MN
1520100.0,2022-03-03,MN
811424.5625,2022-02-17,MS
813640.5625,2022-02-18,MS
815842.0,2022-02-19,MS
817887.75,2022-02-20,MS
819404.8125,2022-02-21,MS
819967.0,2022-02-22,MS
820355.4375,2022-02-23,MS
823843.0,2022-02-24,MS
829145.25,2022-02-25,MS
834048.5,2022-02-26,MS
836399.5625,2022-02-27,MS
837323.5625,2022-02-28,MS
840108.25,2022-03-01,MS
843848.0625,2022-03-02,MS
847652.25,2022-03-03,MS
1438169.25,2022-02-17,MO
1441931.0,2022-02-18,MO
1445650.125,2022-02-19,MO
1449062.0,2022-02-20,MO
1451492.125,2022-02-21,MO
1452249.625,2022-02-22,MO
1452891.25,2022-02-23,MO
1459391.25,2022-02-24,MO
1469327.0,2022-02-25,MO
1478571.0,2022-02-26,MO
1483053.75,2022-02-27,MO
1484642.375,2022-02-28,MO
1489510.75,2022-03-01,MO
1496138.0,2022-03-02,MO
1502908.0,2022-03-03,MO
271553.78125,2022-02-17,MT
272438.125,2022-02-18,MT
273332.34375,2022-02-19,MT
274201.71875,2022-02-20,MT
274932.15625,2022-02-21,MT
275326.03125,2022-02-22,MT
275496.1875,2022-02-23,MT
276389.0,2022-02-24,MT
277700.0,2022-02-25,MT
278864.34375,2022-02-26,MT
279379.0625,2022-02-27,MT
279730.625,2022-02-28,MT
280720.53125,2022-03-01,MT
281973.0,2022-03-02,MT
283222.5,2022-03-03,MT
465747.21875,2022-02-17,NE
467110.5,2022-02-18,NE
468474.96875,2022-02-19,NE
469767.5625,2022-02-20,NE
470780.90625,2022-02-21,NE
471235.28125,2022-02-22,NE
471483.96875,2022-02-23,NE
473310.15625,2022-02-24,NE
476056.8125,2022-02-25,NE
478566.03125,2022-02-26,NE
479741.3125,2022-02-27,NE
480298.8125,2022-02-28,NE
481934.3125,2022-03-01,NE
484081.46875,2022-03-02,NE
486249.90625,2022-03-03,NE
698017.0,2022-02-17,NV
699953.25,2022-02-18,NV
701880.125,2022-02-19,NV
703678.75,2022-02-20,NV
705030.5625,2022-02-21,NV
705557.375,2022-02-22,NV
705900.0,2022-02-23,NV
708842.5,2022-02-24,NV
713306.3125,2022-02-25,NV
717424.125,2022-02-26,NV
719389.5,2022-02-27,NV
720193.1875,2022-02-28,NV
722600.8125,2022-03-01,NV
725818.1875,2022-03-02,NV
729085.75,2022-03-03,NV
304631.8125,2022-02-17,NH
305597.71875,2022-02-18,NH
306572.0625,2022-02-19,NH
307513.53125,2022-02-20,NH
308292.15625,2022-02-21,NH
308696.3125,2022-02-22,NH
308879.875,2022-02-23,NH
309931.65625,2022-02-24,NH
311487.1875,2022-02-25,NH
312880.625,2022-02-26,NH
313507.875,2022-02-27,NH
313894.53125,2022-02-28,NH
314994.375,2022-03-01,NH
316399.25,2022-03-02,NH
317805.28125,2022-03-03,NH
2213169.5,2022-02-17,NJ
2218841.5,2022-02-18,NJ
2224438.0,2022-02-19,NJ
2229538.75,2022-02-20,NJ
2233097.75,2022-02-21,NJ
2234096.5,2022-02-22,NJ
2235051.75,2022-02-23,NJ
2245276.75,2022-02-24,NJ
2260942.5,2022-02-25,NJ
2275553.25,2022-02-26,NJ
2282672.5,2022-02-27,NJ
2285083.0,2022-02-28,NJ
2292528.0,2022-03-01,NJ
2302725.5,2022-03-02,NJ
2313162.75,2022-03-03,NJ
525323.4375,2022-02-17,NM
526833.75,2022-02-18,NM
528342.4375,2022-02-19,NM
529764.6875,2022-02-20,NM
530864.9375,2022-02-21,NM
531337.9375,2022-02-22,NM
531610.75,2022-02-23,NM
533723.1875,2022-02-24,NM
536910.3125,2022-02-25,NM
539832.125,2022-02-26,NM
541210.0625,2022-02-27,NM
541830.625,2022-02-28,NM
543664.125,2022-03-01,NM
546085.875,2022-03-02,NM
548536.25,2022-03-03,NM
5037491.0,2022-02-17,NY
5050131.5,2022-02-18,NY
5062565.5,2022-02-19,NY
5073822.5,2022-02-20,NY
5081495.0,2022-02-21,NY
5083374.0,2022-02-22,NY
5085471.0,2022-02-23,NY
5109271.0,2022-02-24,NY
5145817.0,2022-02-25,NY
5179987.0,2022-02-26,NY
5196713.5,2022-02-27,NY
5202119.0,2022-02-28,NY
5218954.5,2022-03-01,NY
5242163.5,2022-03-02,NY
5265966.5,2022-03-03,NY
2645525.0,2022-02-17,NC
2652263.5,2022-02-18,NC
2658907.0,2022-02-19,NC
2664950.0,2022-02-20,NC
2669138.75,2022-02-21,NC
